_PARTIES	Democrat	Republican	Total
_COLORS	Blue	Red
COOK__GA	1639	2279	3944
COWETA__GA	9056	21327	31226
CRAWFORD__GA	1513	1987	3567
CRISP__GA	2268	3285	5609
DADE__GA	1628	3333	5049
DAWSON__GA	1458	4210	5898
DECATUR__GA	3398	4187	7648
DEKALB__GA	154509	58807	219980
DODGE__GA	2326	3472	5877
DOOLY__GA	1901	1588	3520
DOUGHERTY__GA	16650	12248	29064
DOUGLAS__GA	11162	18893	30964
EARLY__GA	1622	1938	3585
ECHOLS__GA	272	614	898
EFFINGHAM__GA	3232	7326	10650
ELBERT__GA	2527	3262	5853
EMANUEL__GA	2835	3343	6263
EVANS__GA	1217	1841	3080
FANNIN__GA	2736	5463	8390
FAYETTE__GA	11912	29338	42449
FLOYD__GA	10282	16194	26825
FORSYTH__GA	6694	27769	35755
FRANKLIN__GA	2040	3659	5762
FULTON__GA	152039	104870	263212
GILMER__GA	2230	4941	7370
GLASCOCK__GA	249	763	1020
GLYNN__GA	7778	14346	22384
GORDON__GA	4032	7944	12205
GRADY__GA	2721	3894	6703
GREENE__GA	2137	2980	5197
GWINNETT__GA	61434	121756	191111
HABERSHAM__GA	2530	6964	9691
HALL__GA	10259	26841	38150
HANCOCK__GA	2414	662	3086
HARALSON__GA	2869	5153	8167
HARRIS__GA	2912	5554	8562
HART__GA	3192	4242	7536
HEARD__GA	1178	1947	3198
HENRY__GA	11971	25815	38867
HOUSTON__GA	13301	23174	36988
IRWIN__GA	1105	1720	2852
JACKSON__GA	3420	7878	11635
JASPER__GA	1558	2298	3943
JEFF_DAVIS__GA	1379	2797	4221
JEFFERSON__GA	2973	2559	5566
JENKINS__GA	1250	1317	2593
JOHNSON__GA	1065	1797	2883
JONES__GA	3102	4850	8068
LAMAR__GA	2194	2912	5230
LANIER__GA	832	1048	1904
LAURENS__GA	5724	8133	14036
LEE__GA	1936	5872	7884
LIBERTY__GA	5347	4455	9972
LINCOLN__GA	1275	1807	3103
LONG__GA	975	1320	2314
LOWNDES__GA	10616	14462	25432
LUMPKIN__GA	2121	4427	6750
MCDUFFIE__GA	2580	3926	6550
MCINTOSH__GA	2047	1766	3837
MACON__GA	2757	1566	4355
MADISON__GA	2285	5529	7993
MARION__GA	982	1187	2184
MERIWETHER__GA	3441	3162	6709
MILLER__GA	783	1349	2150
MITCHELL__GA	2971	2790	5799
MONROE__GA	2839	4561	7541
MONTGOMERY__GA	1013	1465	2509
MORGAN__GA	2238	3524	5902
MURRAY__GA	2684	5539	8372
MUSCOGEE__GA	28193	23479	52163
NEWTON__GA	6703	11127	18375
OCONEE__GA	3184	7611	11168
OGLETHORPE__GA	1519	2706	4385
PAULDING__GA	6743	16881	24260
PEACH__GA	3540	3525	7137
PICKENS__GA	2489	5488	8201
PIERCE__GA	1300	3348	4681
PIKE__GA	1413	3358	4885
POLK__GA	4112	5841	10116
PULASKI__GA	1390	1922	3346
PUTNAM__GA	2612	3596	6299
QUITMAN__GA	542	348	904
RABUN__GA	1776	3451	5341
RANDOLPH__GA	1381	1174	2569
RICHMOND__GA	31413	25485	57538
ROCKDALE__GA	8295	15440	24649
SCHLEY__GA	460	706	1176
SCREVEN__GA	2233	2461	4719
SEMINOLE__GA	1313	1537	2877
SPALDING__GA	5831	9271	15391
STEPHENS__GA	2869	5370	8376
STEWART__GA	1267	675	1954
SUMTER__GA	4748	4847	9697
TALBOT__GA	1662	844	2531
TALIAFERRO__GA	556	271	832
TATTNALL__GA	1963	3597	5610
TAYLOR__GA	1340	1412	2780
TELFAIR__GA	1777	1693	3493
TERRELL__GA	1584	1504	3113
THOMAS__GA	4862	7093	12058
TIFT__GA	3547	6678	10328
TOOMBS__GA	2643	4487	7210
TOWNS__GA	1495	2902	4497
TREUTLEN__GA	879	1062	1963
TROUP__GA	6379	11198	17804
TURNER__GA	1169	1258	2456
TWIGGS__GA	1977	1570	3615
UNION__GA	2230	4567	6956
UPSON__GA	3158	5019	8282
WALKER__GA	6341	12326	18895
WALTON__GA	5484	12966	19083
WARE__GA	3480	6099	9628
WARREN__GA	1196	933	2145
WASHINGTON__GA	3476	3162	6691
WAYNE__GA	2736	5219	8004
WEBSTER__GA	541	359	909
WHEELER__GA	752	813	1575
WHITE__GA	2014	4857	7043
WHITFIELD__GA	7034	15852	23302
WILCOX__GA	962	1381	2365
WILKES__GA	1940	2044	4026
WILKINSON__GA	1884	1800	3740
WORTH__GA	2214	3792	6061
HAWAII__HI	28670	17050	50860
HONOLULU__HI	139618	101310	255990
KAUAI__HI	13470	6583	21773
MAUI__HI	23484	12876	39248
ADA__ID	40650	75050	123485
ADAMS__ID	336	1476	1909
BANNOCK__ID	10892	18223	30852
BEAR_LAKE__ID	517	2296	2899
BENEWAH__ID	895	2606	3687
BINGHAM__ID	3310	10628	14465
BLAINE__ID	3748	3528	7938
BOISE__ID	745	2019	3055
BONNER__ID	4318	8945	14537
BONNEVILLE__ID	7235	24988	33556
BOUNDARY__ID	832	2797	3884
BUTTE__ID	354	1054	1460
CAMAS__ID	113	359	507
CANYON__ID	10588	30560	43000
CARIBOU__ID	475	2601	3177
CASSIA__ID	1087	5983	7279
CLARK__ID	63	311	382
CLEARWATER__ID	841	2885	3896
CUSTER__ID	416	1794	2330
ELMORE__ID	1840	4891	6966
FRANKLIN__ID	513	3594	4243
FREMONT__ID	699	4242	5088
GEM__ID	1346	4376	5983
GOODING__ID	1282	3502	5026
IDAHO__ID	1187	5806	7452
JEFFERSON__ID	1100	6480	7836
JEROME__ID	1360	4418	6007
KOOTENAI__ID	13488	28162	43812
LATAH__ID	5661	8161	15311
LEMHI__ID	660	2859	3641
LEWIS__ID	335	1295	1688
LINCOLN__ID	437	1049	1574
MADISON__ID	816	7941	8970
MINIDOKA__ID	1344	4907	6518
NEZ_PERCE__ID	4995	10577	16021
ONEIDA__ID	307	1426	1798
OWYHEE__ID	623	2450	3188
PAYETTE__ID	1643	4961	6858
POWER__ID	755	1872	2709
SHOSHONE__ID	2225	2879	5385
TETON__ID	720	1745	2671
TWIN_FALLS__ID	5777	15794	22530
VALLEY__ID	1129	2548	3978
WASHINGTON__ID	980	2899	4070
ADAMS__IL	12197	17331	30109
ALEXANDER__IL	2357	1588	4022
BOND__IL	3060	3804	7032
BOONE__IL	6481	8617	15523
BROWN__IL	1077	1529	2660
BUREAU__IL	7754	8526	16823
CALHOUN__IL	1310	1229	2602
CARROLL__IL	3113	3835	7177
CASS__IL	2789	2968	5899
CHAMPAIGN__IL	35515	34645	74285
CHRISTIAN__IL	6799	7537	14771
CLARK__IL	2932	4398	7512
CLAY__IL	2212	3789	6135
CLINTON__IL	6436	8588	15427
COLES__IL	8904	10495	20093
COOK__IL	1280547	534542	1865907
CRAWFORD__IL	3333	4974	8500
CUMBERLAND__IL	1870	2964	4975
DEKALB__IL	14798	17139	33233
DE_WITT__IL	2870	3968	7051
DOUGLAS__IL	3215	4734	8152
DUPAGE__IL	152550	201037	364362
EDGAR__IL	3216	4833	8232
EDWARDS__IL	978	2212	3260
EFFINGHAM__IL	4225	9855	14485
FAYETTE__IL	3886	5200	9338
FORD__IL	2090	3889	6153
FRANKLIN__IL	10201	8490	19212
FULTON__IL	8940	6936	16277
GALLATIN__IL	1878	1591	3558
GREENE__IL	2490	3129	5767
GRUNDY__IL	7516	8709	16584
HAMILTON__IL	1943	2519	4587
HANCOCK__IL	4256	5134	9691
HARDIN__IL	1184	1366	2637
HENDERSON__IL	2030	1708	3866
HENRY__IL	11921	10896	23470
IROQUOIS__IL	4397	8685	13424
JACKSON__IL	11773	9823	23090
JASPER__IL	1815	3119	5021
JEFFERSON__IL	6685	8362	15360
JERSEY__IL	4355	4699	9413
JO_DAVIESS__IL	4585	5304	10322
JOHNSON__IL	1928	3285	5362
KANE__IL	60127	76996	141405
KANKAKEE__IL	19180	20049	40183
KENDALL__IL	8444	13688	22769
KNOX__IL	12572	9912	23174
LAKE__IL	115058	120988	242164
LA_SALLE__IL	23355	21276	46007
LAWRENCE__IL	2822	3594	6578
LEE__IL	6111	8069	14620
LIVINGSTON__IL	5829	9187	15421
LOGAN__IL	4600	8141	13065
MCDONOUGH__IL	6080	6465	13012
MCHENRY__IL	40698	62112	106185
MCLEAN__IL	24936	34008	60898
MACON__IL	24262	23830	49499
MACOUPIN__IL	11015	9749	21389
MADISON__IL	59077	48821	111104
MARION__IL	8068	8240	16663
MARSHALL__IL	2570	3145	5907
MASON__IL	3192	3411	6772
MASSAC__IL	2912	3676	6744
MENARD__IL	2164	3862	6202
MERCER__IL	4400	3688	8318
MONROE__IL	5797	7632	13796
MONTGOMERY__IL	6542	6226	13093
MORGAN__IL	5899	8058	14334
MOULTRIE__IL	2529	3058	5725
OGLE__IL	7673	12325	20601
PEORIA__IL	38604	36398	76812
PERRY__IL	4862	4802	9942
PIATT__IL	3488	4619	8385
PIKE__IL	3198	4706	8112
POPE__IL	927	1346	2330
PULASKI__IL	1518	1430	3016
PUTNAM__IL	1657	1437	3179
RANDOLPH__IL	6794	7127	14287
RICHLAND__IL	2491	4718	7428
ROCK_ISLAND__IL	37957	25194	65095
ST__CLAIR__IL	55961	42299	100393
SALINE__IL	5427	5933	11650
SANGAMON__IL	38414	50374	91485
SCHUYLER__IL	1587	2077	3772
SCOTT__IL	954	1458	2469
SHELBY__IL	4018	5851	10163
STARK__IL	1211	1694	2989
STEPHENSON__IL	8062	10715	19378
TAZEWELL__IL	25379	31537	58348
UNION__IL	3982	4397	8660
VERMILION__IL	15406	15783	32100
WABASH__IL	1987	3406	5508
WARREN__IL	3524	3899	7631
WASHINGTON__IL	2638	4353	7138
WAYNE__IL	2209	5347	7693
WHITE__IL	2958	4521	7637
WHITESIDE__IL	12886	11252	24837
WILL__IL	90902	95828	191670
WILLIAMSON__IL	12192	14012	26939
WINNEBAGO__IL	51981	53816	109297
WOODFORD__IL	5529	10905	16793
ADAMS__IN	3775	8555	12590
ALLEN__IN	41636	70426	114320
BARTHOLOMEW__IN	9015	16200	25769
BENTON__IN	1328	2441	3874
BLACKFORD__IN	2103	2699	4893
BOONE__IN	4763	13161	18396
BROWN__IN	2608	3871	6817
CARROLL__IN	2965	5102	8268
CASS__IN	5412	9305	15106
CLARK__IN	17360	19417	37336
CLAY__IN	3605	6393	10158
CLINTON__IN	3643	7141	10991
CRAWFORD__IN	1817	2327	4209
DAVIESS__IN	2697	6872	9761
DEARBORN__IN	6020	11452	17650
DECATUR__IN	2889	6115	9171
DEKALB__IN	4776	8701	13785
DELAWARE__IN	20876	22105	44147
DUBOIS__IN	5090	10134	15504
ELKHART__IN	16402	36756	54482
FAYETTE__IN	3415	5060	8647
FLOYD__IN	13209	16486	30030
FOUNTAIN__IN	2717	4408	7281
FRANKLIN__IN	2591	5587	8339
FULTON__IN	2960	5218	8327
GIBSON__IN	5802	7734	13772
GRANT__IN	9712	16153	26386
GREENE__IN	4898	7452	12619
HAMILTON__IN	18002	56372	75926
HANCOCK__IN	6503	15943	22950
HARRISON__IN	5870	8711	14896
HENDRICKS__IN	10786	28651	40221
HENRY__IN	7647	10321	18315
HOWARD__IN	12899	20331	34095
HUNTINGTON__IN	4119	10113	14620
JACKSON__IN	5330	9054	14602
JASPER__IN	3744	7212	11167
JAY__IN	3167	4687	8030
JEFFERSON__IN	5117	6582	11931
JENNINGS__IN	3549	5732	9494
JOHNSON__IN	11952	29404	42284
KNOX__IN	6300	8485	15054
KOSCIUSKO__IN	5785	19040	25284
LAGRANGE__IN	2733	5437	8333
LAKE__IN	109078	63389	175994
LAPORTE__IN	19736	18994	39747
LAWRENCE__IN	5071	10677	16142
MADISON__IN	23403	27956	52216
MARION__IN	134189	137810	279903
MARSHALL__IN	5541	10266	16150
MARTIN__IN	1518	3008	4609
MIAMI__IN	4155	8401	12928
MONROE__IN	17523	19147	40220
MONTGOMERY__IN	3899	8891	13101
MORGAN__IN	6228	15286	22036
NEWTON__IN	2101	3250	5510
NOBLE__IN	4822	9103	14216
OHIO__IN	951	1515	2492
ORANGE__IN	2601	4687	7458
OWEN__IN	2253	4019	6503
PARKE__IN	2481	3841	6447
PERRY__IN	3823	3461	7387
PIKE__IN	2605	3566	6302
PORTER__IN	26790	31157	59378
POSEY__IN	4430	6498	11110
PULASKI__IN	1919	3497	5518
PUTNAM__IN	4123	7352	11871
RANDOLPH__IN	3906	6020	10132
RIPLEY__IN	3498	6988	10675
RUSH__IN	2370	4749	7284
ST__JOSEPH__IN	47703	47581	97474
SCOTT__IN	3915	3761	7846
SHELBY__IN	5374	9590	15310
SPENCER__IN	3752	5096	8987
STARKE__IN	4136	4349	8701
STEUBEN__IN	4103	6953	11277
SULLIVAN__IN	3833	4319	8262
SWITZERLAND__IN	1336	1831	3239
TIPPECANOE__IN	18220	26106	46295
TIPTON__IN	2392	4784	7316
UNION__IN	927	1838	2828
VANDERBURGH__IN	29222	35846	66221
VERMILLION__IN	3370	3130	6633
VIGO__IN	17570	18021	36228
