_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Screven__GA	2661	3915	6629
Seminole__GA	1256	2613	3888
Spalding__GA	11828	18104	30219
Stephens__GA	2386	9367	11885
Stewart__GA	1182	801	1990
Sumter__GA	6314	5733	12150
Talbot__GA	2114	1392	3524
Taliaferro__GA	561	360	928
Tattnall__GA	2062	6054	8187
Taylor__GA	1388	2420	3842
Telfair__GA	1488	2825	4335
Terrell__GA	2376	2004	4416
Thomas__GA	8708	12969	21877
Tift__GA	5318	10784	16280
Toombs__GA	2938	7873	10914
Towns__GA	1550	6384	7979
Treutlen__GA	952	2101	3077
Troup__GA	11577	18142	30057
Turner__GA	1409	2349	3791
Twiggs__GA	2044	2370	4444
Union__GA	2800	12650	15562
Upson__GA	4203	8606	12907
Walker__GA	5770	23173	29374
Walton__GA	12683	37839	51098
Ware__GA	4169	9903	14189
Warren__GA	1468	1166	2650
Washington__GA	4743	4668	9480
Wayne__GA	2688	9987	12782
Webster__GA	640	748	1391
Wheeler__GA	689	1583	2285
White__GA	2411	12222	14831
Whitfield__GA	10680	25644	36766
Wilcox__GA	861	2402	3279
Wilkes__GA	2160	2823	5031
Wilkinson__GA	2074	2665	4770
Worth__GA	2395	6830	9285
Accomack__VA	7578	9172	16962
Albemarle__VA	42466	20804	64657
Alexandria__VA	66240	14544	82508
Alleghany__VA	2243	5859	8203
Amelia__VA	2411	5390	7893
Amherst__VA	5672	11041	17005
Appomattox__VA	2418	6702	9268
Arlington__VA	105344	22318	130699
Augusta__VA	10840	30714	42278
Bath__VA	646	1834	2501
Bedford_Co___VA	12176	35600	48669
Bland__VA	532	2903	3479
Botetourt__VA	5700	15099	21120
Bristol__VA	2313	5347	7806
Brunswick__VA	4552	3357	7948
Buchanan__VA	1587	8311	9953
Buckingham__VA	3471	4544	8126
Buena_Vista__VA	825	1863	2776
Campbell__VA	8070	21245	29892
Caroline__VA	7657	8336	16288
Carroll__VA	2842	12659	15651
Charles_City__VA	2624	1761	4441
Charlotte__VA	2317	3815	6191
Charlottesville__VA	20696	3094	24205
Chesapeake__VA	66377	58180	127108
Chesterfield__VA	106935	93326	203884
Clarke__VA	3920	5192	9337
Colonial_Heights__VA	2972	6007	9146
Covington__VA	964	1580	2603
Craig__VA	587	2536	3169
Culpeper__VA	10617	16012	27116
Cumberland__VA	2227	3019	5310
Danville__VA	11710	7428	19389
Dickenson__VA	1503	5748	7303
Dinwiddie__VA	6224	8695	15092
Emporia__VA	1612	754	2381
Essex__VA	3038	3075	6178
Fairfax__VA	9174	4007	13483
Fairfax_Co___VA	419943	168401	600823
Falls_Church__VA	7146	1490	8819
Fauquier__VA	17565	25106	43661
Floyd__VA	3004	6225	9408
Fluvanna__VA	7414	8155	15840
Franklin__VA	2525	1487	4058
Franklin_Co___VA	8381	20895	29702
Frederick__VA	17207	30558	48703
Fredericksburg__VA	8517	4037	12862
Galax__VA	777	1838	2638
Giles__VA	2156	6876	9176
Gloucester__VA	6964	14875	22282
Goochland__VA	6685	9966	16950
Grayson__VA	1535	6529	8131
Greene__VA	4163	6866	11311
Greensville__VA	2627	1914	4574
Halifax__VA	7666	10418	18248
Hampton__VA	46220	18430	65901
Hanover__VA	25307	44318	70967
Harrisonburg__VA	11022	5591	17086
Henrico__VA	116572	63440	183152
Henry__VA	9127	16725	26105
Highland__VA	417	1092	1533
Hopewell__VA	5430	4020	9608
Isle_of_Wight__VA	9399	13707	23456
James_City__VA	25553	23153	49622
King_and_Queen__VA	1590	2450	4115
King_George__VA	5404	8446	14224
King_William__VA	3260	7320	10736
Lancaster__VA	3368	3697	7152
Lee__VA	1489	8365	9946
Lexington__VA	1791	906	2762
Loudoun__VA	138372	82088	224862
Louisa__VA	8269	13294	21915
Lunenburg__VA	2418	3537	6000
Lynchburg__VA	18048	17097	36363
Madison__VA	2698	5300	8129
Manassas__VA	10356	6256	16968
Manassas_Park__VA	3992	1979	6087
Martinsville__VA	3766	2165	6013
Mathews__VA	1825	3901	5826
Mecklenburg__VA	6803	9266	16204
Middlesex__VA	2491	4196	6785
Montgomery__VA	23218	20629	45037
Nelson__VA	4327	4812	9316
New_Kent__VA	4621	9631	14463
Newport_News__VA	53099	26377	81203
Norfolk__VA	64440	23443	89881
Northampton__VA	3667	2955	6732
Northumberland__VA	3252	4485	7815
Norton__VA	464	1109	1601
Nottoway__VA	2971	4027	7078
Orange__VA	7995	12426	20742
Page__VA	3007	9345	12514
Patrick__VA	1954	7485	9534
