_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Choctaw__MS	1185	3001	4223
Claiborne__MS	3772	603	4449
Clarke__MS	2838	5417	8338
Clay__MS	5844	4181	10189
Coahoma__MS	6020	2375	8501
Copiah__MS	6470	6250	12883
Covington__MS	3416	5854	9360
DeSoto__MS	28265	46462	76124
Forrest__MS	13755	17290	31654
Franklin__MS	1480	2923	4461
George__MS	1218	9713	11049
Greene__MS	966	4794	5812
Grenada__MS	4734	6081	10911
Hancock__MS	4504	16132	20957
Harrison__MS	27728	46822	75885
Hinds__MS	73550	25141	100208
Holmes__MS	6588	1369	8115
Humphreys__MS	3016	1118	4189
Issaquena__MS	355	308	676
Itawamba__MS	1249	9438	10819
Jackson__MS	17375	36295	54543
Jasper__MS	4341	4302	8736
Jefferson__MS	3327	531	3908
Jefferson_Davis__MS	3599	2534	6213
Jones__MS	8517	21226	30091
Kemper__MS	2887	1787	4731
Lafayette__MS	10070	12949	23423
Lamar__MS	7340	20704	28530
Lauderdale__MS	12960	17967	31247
Lawrence__MS	2260	4285	6613
Leake__MS	3897	5228	9200
Lee__MS	12189	24207	36954
Leflore__MS	7648	3129	10893
Lincoln__MS	5040	11596	16801
Lowndes__MS	13087	13800	27241
Madison__MS	24440	31091	56361
Marion__MS	3787	8273	12177
Marshall__MS	8057	7566	15817
Monroe__MS	5874	11177	17259
Montgomery__MS	2121	2917	5075
Neshoba__MS	3260	8320	11703
Newton__MS	3075	6997	10183
Noxubee__MS	4040	1240	5339
Oktibbeha__MS	10299	9004	19757
Panola__MS	7403	8060	15627
Pearl_River__MS	4148	19595	24033
Perry__MS	1362	4500	5916
Pike__MS	8646	8479	17361
Pontotoc__MS	2614	11550	14361
Prentiss__MS	2153	8370	10644
Quitman__MS	2150	1026	3226
Rankin__MS	18847	50895	70799
Scott__MS	4330	6285	10733
Sharkey__MS	1465	688	2183
Simpson__MS	4037	7635	11815
Smith__MS	1791	6458	8327
Stone__MS	1802	5964	7878
Sunflower__MS	6781	2799	9681
Tallahatchie__MS	3105	2488	5685
Tate__MS	4183	8707	13093
Tippah__MS	1937	8054	10102
Tishomingo__MS	1059	7933	9138
Tunica__MS	2580	926	3565
Union__MS	2160	10373	12683
Walthall__MS	2835	4220	7119
Warren__MS	10442	10365	21053
Washington__MS	12503	5300	18034
Wayne__MS	3624	6307	10056
Webster__MS	1043	4291	5395
Wilkinson__MS	2749	1324	4127
Winston__MS	4040	5112	9236
Yalobusha__MS	2785	3671	6535
Yazoo__MS	5496	4832	10436
Acadia__LA	5443	22596	28425
Allen__LA	2108	7574	9810
Ascension__LA	20399	40687	62325
Assumption__LA	3833	7271	11235
Avoyelles__LA	4979	12028	17292
Beauregard__LA	2542	13575	16357
Bienville__LA	3067	3891	7050
Bossier__LA	15662	38074	54655
Caddo__LA	55110	48021	104912
Calcasieu__LA	25982	55066	82663
Caldwell__LA	745	3976	4762
Cameron__LA	324	3671	4039
Catahoula__LA	1269	3541	4858
Claiborne__LA	2731	3770	6580
Concordia__LA	3177	5550	8828
De_Soto__LA	5457	9112	14736
East_Baton_Rouge__LA	115577	88420	208182
East_Carroll__LA	1900	1080	3036
East_Feliciana__LA	4280	6064	10509
Evangeline__LA	4158	11053	15412
Franklin__LA	2658	6970	9720
Grant__LA	1157	8117	9392
Iberia__LA	11027	21251	32713
Iberville__LA	8514	7893	16719
Jackson__LA	2143	5394	7632
Jefferson__LA	84477	105949	193733
Jefferson_Davis__LA	3208	11423	14840
Lafayette__LA	39685	72519	114521
Lafourche__LA	8672	36024	45388
LaSalle__LA	638	6378	7077
Lincoln__LA	7559	11311	19275
Livingston__LA	9249	54877	65230
Madison__LA	2654	1930	4670
Morehouse__LA	4946	6510	11574
Natchitoches__LA	6896	9358	16554
Orleans__LA	147854	26664	177819
Ouachita__LA	25913	42255	69166
Plaquemines__LA	3414	7412	11014
Pointe_Coupee__LA	4683	7503	12371
Rapides__LA	19475	38347	58865
Red_River__LA	1644	2413	4132
Richland__LA	3225	6607	9940
Sabine__LA	1731	8776	10596
St__Bernard__LA	6151	11179	17650
St__Charles__LA	9800	18233	28517
St__Helena__LA	3346	2714	6158
St__James__LA	6510	5954	12590
St__John_the_Baptist__LA	13582	7538	21432
St__Landry__LA	17372	23171	41154
St__Martin__LA	8439	18203	27038
St__Mary__LA	8055	14811	23186
St__Tammany__LA	37746	99666	140110
Tangipahoa__LA	18887	37806	57661
Tensas__LA	1329	1197	2554
Terrebonne__LA	11198	34339	46240
Union__LA	2654	8407	11201
Vermilion__LA	5009	21930	27324
Vernon__LA	2898	14107	17268
Washington__LA	5970	13307	19513
Webster__LA	6172	11830	18216
West_Baton_Rouge__LA	6200	7684	14097
West_Carroll__LA	710	4317	5052
West_Feliciana__LA	2298	3863	6268
Winn__LA	1543	4619	6225
Adams__NE	4213	10085	14653
Antelope__NE	452	3093	3587
Arthur__NE	21	260	285
Banner__NE	43	362	411
Blaine__NE	35	280	317
Boone__NE	499	2653	3226
Box_Butte__NE	1051	4002	5200
Boyd__NE	135	1010	1155
Brown__NE	191	1470	1684
Buffalo__NE	6350	16640	23711
Burt__NE	1063	2580	3739
Butler__NE	873	3542	4518
Cass__NE	4737	10121	15326
Cedar__NE	725	4174	5015
Chase__NE	226	1740	2000
Cherry__NE	373	2844	3269
Cheyenne__NE	855	3813	4776
Clay__NE	632	2848	3570
Colfax__NE	1025	2636	3726
Cuming__NE	870	3507	4459
Custer__NE	786	5090	6010
Dakota__NE	2744	3926	6817
Dawes__NE	1082	2931	4151
Dawson__NE	2497	6524	9191
Deuel__NE	141	871	1034
Dixon__NE	651	2335	3094
Dodge__NE	5544	10984	16938
Douglas__NE	150350	119159	276540
Dundy__NE	105	883	1003
Fillmore__NE	693	2359	3148
Franklin__NE	276	1437	1728
Frontier__NE	189	1229	1446
Furnas__NE	399	2163	2602
Gage__NE	3385	7445	11119
Garden__NE	161	1016	1200
Garfield__NE	133	933	1076
Gosper__NE	215	893	1121
Grant__NE	20	375	402
Greeley__NE	229	1016	1259
Hall__NE	7681	16189	24450
Hamilton__NE	1118	4309	5566
Harlan__NE	282	1615	1934
Hayes__NE	34	494	536
Hitchcock__NE	175	1264	1470
Holt__NE	686	4769	5550
Hooker__NE	59	376	442
Howard__NE	648	2786	3511
Jefferson__NE	1016	2616	3730
Johnson__NE	647	1518	2233
Kearney__NE	701	2822	3617
Keith__NE	763	3544	4369
Keya_Paha__NE	49	476	530
Kimball__NE	268	1563	1877
Knox__NE	905	3721	4708
Lancaster__NE	82293	70092	157215
Lincoln__NE	3692	13071	17163
Logan__NE	38	407	450
Loup__NE	75	370	454
Madison__NE	3478	11940	15819
McPherson__NE	17	275	302
Merrick__NE	743	3419	4282
Morrill__NE	386	2113	2558
Nance__NE	359	1437	1832
Nemaha__NE	921	2428	3432
Nuckolls__NE	409	1857	2305
Otoe__NE	2490	5649	8355
Pawnee__NE	322	1071	1429
Perkins__NE	199	1321	1545
Phelps__NE	752	4157	5021
Pierce__NE	480	3462	4012
Platte__NE	3260	12186	15721
Polk__NE	530	2291	2887
Red_Willow__NE	811	4525	5470
Richardson__NE	996	3073	4134
Rock__NE	84	744	842
Saline__NE	1986	3631	5780
Sarpy__NE	41206	51979	96193
Saunders__NE	3331	9108	12786
Scotts_Bluff__NE	4196	10952	15524
Seward__NE	2438	6490	9199
Sheridan__NE	340	2292	2684
Sherman__NE	343	1322	1700
Sioux__NE	72	642	731
Stanton__NE	532	2561	3165
Thayer__NE	624	2308	2989
Thomas__NE	45	377	427
Thurston__NE	1122	1180	2379
Valley__NE	412	1901	2344
Washington__NE	3554	8583	12467
Wayne__NE	1022	3055	4218
Webster__NE	335	1511	1876
Wheeler__NE	59	438	503
York__NE	1630	5337	7161
Beaver__UT	357	2695	3100
Box_Elder__UT	4473	21548	27027
Cache__UT	16650	38032	57571
Carbon__UT	2392	6693	9369
Daggett__UT	111	496	619
Davis__UT	57411	104135	169895
Duchesne__UT	843	7513	8524
Emery__UT	572	4207	4865
Garfield__UT	514	2158	2732
Grand__UT	2806	2248	5185
Iron__UT	4892	18989	24890
Juab__UT	645	5087	5866
Kane__UT	1083	2998	4180
Millard__UT	624	5404	6160
Morgan__UT	1086	5181	6512
Piute__UT	86	773	871
Rich__UT	180	1157	1363
Salt_Lake__UT	289906	230174	541175
San_Juan__UT	3113	3535	6878
Sanpete__UT	1794	10459	12631
Sevier__UT	1084	9052	10363
Summit__UT	15244	10252	26088
Tooele__UT	8943	21014	31518
Uintah__UT	1663	13261	15307
Utah__UT	76033	192812	284480
Wasatch__UT	6187	10795	17581
Washington__UT	20530	67294	90476
Wayne__UT	365	1229	1621
Weber__UT	40695	65949	111442
Aurora__SD	317	1052	1405
Beadle__SD	2107	4808	7081
Bennett__SD	466	694	1183
Bon_Homme__SD	721	2235	3001
Brookings__SD	6110	8000	14567
Brown__SD	6538	10580	17547
Brule__SD	673	1750	2490
Buffalo__SD	352	183	549
Butte__SD	939	3731	4802
Campbell__SD	117	747	873
Charles_Mix__SD	1177	2552	3783
Clark__SD	437	1373	1850
Clay__SD	3083	2456	5698
Codington__SD	3837	8958	13161
Corson__SD	622	647	1283
Custer__SD	1522	3852	5494
Davison__SD	2648	5613	8454
Day__SD	1052	1869	2964
Deuel__SD	609	1699	2350
Dewey__SD	1131	790	1966
Douglas__SD	216	1468	1707
Edmunds__SD	417	1538	1985
Fall_River__SD	1053	2878	4042
Faulk__SD	198	964	1182
Grant__SD	1056	2618	3745
Gregory__SD	455	1771	2258
Haakon__SD	105	1026	1137
Hamlin__SD	647	2372	3083
Hand__SD	373	1433	1836
Hanson__SD	557	1793	2388
Harding__SD	49	748	813
Hughes__SD	2953	5522	8723
Hutchinson__SD	762	2944	3767
Hyde__SD	136	564	710
Jackson__SD	359	738	1115
Jerauld__SD	270	721	1006
Jones__SD	90	498	599
Kingsbury__SD	819	1904	2779
Lake__SD	2068	3681	5873
Lawrence__SD	4537	8753	13828
Lincoln__SD	11981	19617	32396
Lyman__SD	525	1042	1597
Marshall__SD	858	1287	2178
McCook__SD	769	2068	2900
McPherson__SD	222	1075	1324
Meade__SD	3285	9875	13670
Mellette__SD	298	449	769
Miner__SD	320	787	1138
Minnehaha__SD	40482	49249	92326
Moody__SD	1179	1951	3206
Oglala_Lakota__SD	2829	297	3200
Pennington__SD	20606	35063	57518
Perkins__SD	239	1401	1669
Potter__SD	227	1139	1380
Roberts__SD	1828	2404	4307
Sanborn__SD	257	905	1185
Spink__SD	998	2104	3163
Stanley__SD	421	1203	1652
Sully__SD	185	726	930
Todd__SD	1963	532	2539
Tripp__SD	495	2161	2696
Turner__SD	1139	3290	4548
Union__SD	2725	5944	8855
Walworth__SD	565	1966	2580
Yankton__SD	4016	6581	10900
Ziebach__SD	481	404	906
Arkansas__AR	1818	4304	6292
Ashley__AR	2125	5548	7926
Baxter__AR	4635	15836	21007
Benton__AR	42249	73965	119912
Boone__AR	3064	13652	17114
Bradley__AR	1214	2335	3654
Calhoun__AR	479	1636	2182
Carroll__AR	4023	7424	11797
Chicot__AR	2260	1752	4103
Clark__AR	3438	4616	8395
Clay__AR	962	4086	5183
Cleburne__AR	1988	10328	12680
Cleveland__AR	651	2867	3600
Columbia__AR	2814	5500	8616
Conway__AR	2615	5694	8685
Craighead__AR	11921	25558	38511
Crawford__AR	4959	18607	24091
Crittenden__AR	8514	7333	16367
Cross__AR	1772	4946	6942
Dallas__AR	963	1573	2649
Desha__AR	2016	1921	4164
Drew__AR	2426	4349	6908
Faulkner__AR	18347	34421	54428
Franklin__AR	1300	5677	7129
Fulton__AR	1035	3961	5119
Garland__AR	14045	29069	44199
Grant__AR	1268	6794	8200
Greene__AR	3058	12670	16100
Hempstead__AR	2138	4470	6848
Hot_Spring__AR	3082	9202	12557
Howard__AR	1340	3367	4834
Independence__AR	2806	11250	14512
Izard__AR	1021	4631	5810
Jackson__AR	1365	3593	5091
Jefferson__AR	14981	9521	25158
Johnson__AR	2283	6938	9498
Lafayette__AR	839	1757	2679
Lawrence__AR	1080	4569	5857
Lee__AR	1423	1286	2848
Lincoln__AR	1032	2729	3875
Little_River__AR	1226	3715	5177
Logan__AR	1544	6441	8225
Lonoke__AR	6686	22884	30662
Madison__AR	1563	5658	7351
Marion__AR	1531	5783	7503
Miller__AR	4245	11920	16529
Mississippi__AR	4558	7296	12342
Monroe__AR	1147	1545	2816
Montgomery__AR	731	3046	3873
Nevada__AR	1076	2133	3358
Newton__AR	709	3192	3998
Ouachita__AR	3995	5294	9629
Perry__AR	1012	3479	4627
Phillips__AR	3623	2417	6242
Pike__AR	644	3519	4246
Poinsett__AR	1424	5918	7521
Polk__AR	1246	7035	8490
Pope__AR	5772	18081	24432
Prairie__AR	654	2786	3495
Pulaski__AR	101947	63687	169956
Randolph__AR	1215	5355	6812
Saline__AR	16060	39556	56959
Scott__AR	483	2962	3551
Searcy__AR	588	3365	4019
Sebastian__AR	14487	31198	47140
Sevier__AR	1116	3884	5202
Sharp__AR	1398	5938	7566
St__Francis__AR	3604	3242	7108
Stone__AR	1180	4616	5938
Union__AR	5584	10478	16607
Van_Buren__AR	1593	6034	7807
Washington__AR	43824	47504	94266
White__AR	5978	24182	30885
Woodruff__AR	856	1543	2476
Yell__AR	1284	5226	6741
Ada__ID	120539	130699	259700
Adams__ID	591	1941	2586
Bannock__ID	14682	23331	39587
Bear_Lake__ID	350	2914	3316
Benewah__ID	977	3878	4975
Bingham__ID	4124	15295	19996
Blaine__ID	8919	4032	13289
Boise__ID	1204	3485	4822
Bonner__ID	8310	18369	27352
Bonneville__ID	14254	37805	54034
Boundary__ID	1220	4937	6317
Butte__ID	188	1202	1415
Camas__ID	149	507	754
Canyon__ID	25881	61759	90457
Caribou__ID	431	2906	3416
Cassia__ID	1464	7907	9632
Clark__ID	41	264	311
Clearwater__ID	877	3453	4419
Custer__ID	603	2089	2739
Elmore__ID	2601	7246	10213
Franklin__ID	657	5845	6664
Fremont__ID	998	5548	6721
Gem__ID	1803	7951	9960
Gooding__ID	1256	4659	6052
Idaho__ID	1561	7826	9610
Jefferson__ID	1661	12099	14180
Jerome__ID	1893	5734	7815
Kootenai__ID	24312	62837	89511
Latah__ID	10236	9472	20610
Lemhi__ID	1032	3592	4739
Lewis__ID	349	1489	1870
Lincoln__ID	414	1469	1941
Madison__ID	2666	13559	17137
Minidoka__ID	1550	6265	7993
Nez_Perce__ID	6686	13738	20985
Oneida__ID	249	2148	2452
Owyhee__ID	816	3819	4743
Payette__ID	2161	8862	11293
Power__ID	865	2116	3076
Shoshone__ID	1693	4216	6049
Teton__ID	3318	2858	6362
Twin_Falls__ID	9391	25897	36512
Valley__ID	2976	3947	7063
Washington__ID	1073	4154	5346
Adair__OK	1387	5585	7108
Alfalfa__OK	232	1978	2262
Atoka__OK	765	4557	5389
Beaver__OK	190	1968	2178
Beckham__OK	1048	6767	7948
Blaine__OK	688	3136	3901
Bryan__OK	3323	12344	15976
Caddo__OK	2670	7013	9859
Canadian__OK	16742	43550	61940
Carter__OK	4470	14699	19479
Cherokee__OK	6027	11223	17714
Choctaw__OK	1082	4698	5832
Cimarron__OK	70	970	1054
Cleveland__OK	49827	66677	119778
Coal__OK	374	2091	2524
Comanche__OK	13747	20905	35631
Cotton__OK	393	2117	2572
Craig__OK	1217	4686	6032
Creek__OK	6577	23294	30505
Custer__OK	2369	8060	10691
Delaware__OK	3472	13557	17245
Dewey__OK	214	2124	2359
Ellis__OK	162	1688	1873
Garfield__OK	4919	16970	22430
Garvin__OK	1865	8878	10922
Grady__OK	4144	18538	23101
Grant__OK	280	1916	2226
Greer__OK	328	1605	1973
Harmon__OK	177	747	933
Harper__OK	136	1327	1487
Haskell__OK	783	4165	5014
Hughes__OK	919	3875	4857
Jackson__OK	1646	6392	8221
Jefferson__OK	319	2026	2385
Johnston__OK	738	3441	4251
Kay__OK	4040	12834	17249
Kingfisher__OK	854	5521	6465
Kiowa__OK	699	2673	3427
Latimer__OK	762	3437	4249
Le_Flore__OK	3299	15213	18805
Lincoln__OK	2609	12013	14888
Logan__OK	5455	15608	21574
Love__OK	711	3305	4076
Major__OK	320	3084	3467
Marshall__OK	1100	4891	6064
Mayes__OK	3581	12749	16626
McClain__OK	3582	15295	19236
McCurtain__OK	1858	9485	11467
McIntosh__OK	2031	6172	8335
Murray__OK	1156	4612	5894
Muskogee__OK	8027	16526	25081
Noble__OK	1003	3821	4938
Nowata__OK	712	3610	4391
Okfuskee__OK	896	3058	4038
Oklahoma__OK	141724	145050	294740
Okmulgee__OK	4357	9668	14313
Osage__OK	6002	14121	20538
Ottawa__OK	2686	8545	11438
Pawnee__OK	1363	5267	6786
Payne__OK	10904	17813	29643
Pittsburg__OK	3768	13851	17924
Pontotoc__OK	4117	10805	15320
Pottawatomie__OK	7275	20240	28185
Pushmataha__OK	668	4016	4739
Roger_Mills__OK	168	1629	1834
Rogers__OK	9589	34031	44553
Seminole__OK	2150	6011	8337
Sequoyah__OK	3035	12113	15386
Stephens__OK	3154	15560	19057
Texas__OK	894	4505	5521
Tillman__OK	597	2076	2708
Tulsa__OK	108996	150574	266678
Wagoner__OK	8464	26165	35338
Washington__OK	5790	17076	23501
Washita__OK	598	4086	4777
Woods__OK	591	2993	3678
Woodward__OK	1005	6611	7785
Adams__ND	258	981	1269
Barnes__ND	1820	3568	5565
Benson__ND	822	1094	1961
Billings__ND	72	541	635
Bottineau__ND	821	2575	3471
Bowman__ND	228	1395	1657
Burke__ND	137	994	1155
Burleigh__ND	14348	34744	50753
Cass__ND	40311	42619	86053
Cavalier__ND	474	1499	2020
Dickey__ND	608	1742	2424
Divide__ND	265	904	1202
Dunn__ND	342	1951	2338
Eddy__ND	383	854	1261
Emmons__ND	237	1738	2009
Foster__ND	373	1362	1778
Golden_Valley__ND	137	871	1026
Grand_Forks__ND	12880	16987	30970
Grant__ND	207	1145	1381
Griggs__ND	308	907	1250
Hettinger__ND	196	1091	1312
Kidder__ND	221	1215	1460
LaMoure__ND	527	1645	2219
Logan__ND	128	930	1076
McHenry__ND	564	2364	3003
McIntosh__ND	261	1153	1455
McKenzie__ND	814	4482	5419
McLean__ND	1230	4198	5536
Mercer__ND	704	3856	4675
Morton__ND	3872	12243	16619
Mountrail__ND	1256	2824	4165
Nelson__ND	586	1141	1777
Oliver__ND	129	918	1066
Pembina__ND	786	2460	3331
Pierce__ND	497	1585	2128
Ramsey__ND	1639	3577	5372
Ransom__ND	945	1418	2454
Renville__ND	220	1065	1319
Richland__ND	2510	5072	7812
Rolette__ND	2482	1257	3804
Sargent__ND	738	1266	2070
Sheridan__ND	104	688	812
Sioux__ND	804	258	1186
Slope__ND	44	380	427
Stark__ND	2499	12110	15050
Steele__ND	392	652	1088
Stutsman__ND	2676	6994	9959
Towner__ND	317	830	1174
Traill__ND	1493	2522	4136
Walsh__ND	1333	3324	4783
Ward__ND	7293	19974	28246
Wells__ND	442	1893	2374
Williams__ND	2169	11739	14334
Barbour__WV	1457	5116	6677
Berkeley__WV	17186	33279	51535
Boone__WV	2041	6816	9012
Braxton__WV	1457	4120	5664
Brooke__WV	2947	7545	10656
Cabell__WV	14994	21721	37360
Calhoun__WV	568	2364	2971
Clay__WV	641	2679	3365
Doddridge__WV	435	2619	3101
Fayette__WV	5063	11580	16862
Gilmer__WV	599	2012	2662
Grant__WV	607	4871	5509
Greenbrier__WV	4655	10925	15850
Hampshire__WV	1939	8033	10086
Hancock__WV	3790	9806	13800
Hardy__WV	1381	4859	6331
Harrison__WV	9215	20683	30465
Jackson__WV	3207	10093	13508
Jefferson__WV	12127	15033	27703
Kanawha__WV	34344	46398	82244
Lewis__WV	1538	5782	7457
Lincoln__WV	1711	6012	7830
Logan__WV	2333	10534	13026
Marion__WV	8901	16300	25794
Marshall__WV	3455	10435	14080
Mason__WV	2526	8491	11203
McDowell__WV	1333	5148	6527
Mercer__WV	5556	19237	25134
Mineral__WV	2660	10040	12872
Mingo__WV	1397	8544	10022
Monongalia__WV	20282	20803	42072
Monroe__WV	1345	5068	6490
Morgan__WV	1998	6537	8695
Nicholas__WV	2226	8279	10630
Ohio__WV	7223	12354	19898
Pendleton__WV	820	2782	3659
Pleasants__WV	699	2742	3491
Pocahontas__WV	1047	2895	4008
Preston__WV	3163	11190	14572
Putnam__WV	7878	20034	28501
Raleigh__WV	7982	24673	33106
Randolph__WV	3362	8673	12200
Ritchie__WV	586	3649	4283
Roane__WV	1455	4213	5763
Summers__WV	1448	4074	5585
Taylor__WV	1796	5477	7383
Tucker__WV	938	2841	3844
Tyler__WV	631	3226	3922
Upshur__WV	2256	7771	10221
Wayne__WV	4088	12585	16947
Webster__WV	610	2759	3402
Wetzel__WV	1539	4993	6667
Wirt__WV	466	2134	2653
Wood__WV	10926	27202	38762
Wyoming__WV	1157	7353	8592
Albany__WY	9092	8579	18617
Big_Horn__WY	788	4806	5752
Campbell__WY	1935	16975	19566
Carbon__WY	1427	5014	6664
Converse__WY	861	5917	6970
Crook__WY	378	3651	4119
Fremont__WY	5519	12007	18111
Goshen__WY	1203	4878	6241
Hot_Springs__WY	482	1999	2577
Johnson__WY	897	3881	4914
Laramie__WY	15217	27891	44982
Lincoln__WY	1509	8643	10468
Natrona__WY	8530	25271	35202
Niobrara__WY	155	1118	1308
Park__WY	3410	12813	16717
Platte__WY	890	3898	4923
Sheridan__WY	4043	11843	16428
Sublette__WY	882	3957	4970
Sweetwater__WY	3823	12229	16603
Teton__WY	9848	4341	14677
Uinta__WY	1591	7496	9402
Washakie__WY	651	3245	4012
Weston__WY	360	3107	3542
